Symbol,Date,Close
NIFTYBEES,2018-06-06,1109.96
NIFTYBEES,2018-06-07,1117.89
NIFTYBEES,2018-06-08,1118.52
NIFTYBEES,2018-06-11,1122.52
NIFTYBEES,2018-06-12,1126.27
NIFTYBEES,2018-06-13,1125.66
NIFTYBEES,2018-06-14,1122.04
NIFTYBEES,2018-06-15,1124.94
NIFTYBEES,2018-06-18,1123.99
NIFTYBEES,2018-06-19,1114.81
NIFTYBEES,2018-06-20,1119.65
NIFTYBEES,2018-06-21,1115.29
NIFTYBEES,2018-06-22,1124.79
NIFTYBEES,2018-06-25,1118.35
NIFTYBEES,2018-06-26,1121.32
NIFTYBEES,2018-06-27,1107.76
NIFTYBEES,2018-06-28,1100.53
NIFTYBEES,2018-06-29,1111.88
NIFTYBEES,2018-07-02,1109.97
NIFTYBEES,2018-07-03,1114.04
NIFTYBEES,2018-07-04,1118.75
NIFTYBEES,2018-07-05,1119.13
NIFTYBEES,2018-07-06,1123.02
NIFTYBEES,2018-07-09,1128.54
NIFTYBEES,2018-07-10,1137.27
NIFTYBEES,2018-07-11,1137.26
NIFTYBEES,2018-07-12,1144.95
NIFTYBEES,2018-07-13,1146.32
NIFTYBEES,2018-07-16,1139.83
NIFTYBEES,2018-07-17,1144.85
NIFTYBEES,2018-07-18,1141.18
NIFTYBEES,2018-07-19,1141.21
NIFTYBEES,2018-07-20,1149.3
NIFTYBEES,2018-07-23,1153.4
NIFTYBEES,2018-07-24,1157.12
NIFTYBEES,2018-07-25,1159.19
NIFTYBEES,2018-07-26,1161.58
NIFTYBEES,2018-07-27,1173.23
NIFTYBEES,2018-07-30,1177.42
NIFTYBEES,2018-07-31,1182.5
NIFTYBEES,2018-08-01,1181.24
NIFTYBEES,2018-08-02,1174.29
NIFTYBEES,2018-08-03,1186.19
NIFTYBEES,2018-08-06,1187.35
NIFTYBEES,2018-08-07,1187.39
NIFTYBEES,2018-08-08,1191.71
NIFTYBEES,2018-08-09,1193.11
NIFTYBEES,2018-08-10,1189.8
NIFTYBEES,2018-08-13,1182.25
NIFTYBEES,2018-08-14,1191.34
NIFTYBEES,2018-08-16,1187.53
NIFTYBEES,2018-08-17,1197.82
NIFTYBEES,2018-08-20,1202.73
NIFTYBEES,2018-08-21,1206.91
NIFTYBEES,2018-08-23,1208.38
NIFTYBEES,2018-08-24,1206.06
NIFTYBEES,2018-08-27,1217.93
NIFTYBEES,2018-08-28,1221.89
NIFTYBEES,2018-08-29,1219.96
NIFTYBEES,2018-08-30,1217.08
NIFTYBEES,2018-08-31,1219.0
NIFTYBEES,2018-09-03,1207.65
NIFTYBEES,2018-09-04,1204.21
NIFTYBEES,2018-09-05,1198.97
NIFTYBEES,2018-09-06,1202.8
NIFTYBEES,2018-09-07,1210.59
NIFTYBEES,2018-09-10,1196.49
NIFTYBEES,2018-09-11,1179.47
NIFTYBEES,2018-09-12,1187.48
NIFTYBEES,2018-09-14,1200.21
NIFTYBEES,2018-09-17,1189.61
NIFTYBEES,2018-09-18,1179.73
NIFTYBEES,2018-09-19,1176.1
NIFTYBEES,2018-09-21,1165.0
NIFTYBEES,2018-09-24,1147.97
NIFTYBEES,2018-09-25,1157.61
NIFTYBEES,2018-09-26,1156.0
NIFTYBEES,2018-09-27,1146.45
NIFTYBEES,2018-09-28,1141.4
NIFTYBEES,2018-10-01,1149.55
NIFTYBEES,2018-10-03,1136.15
NIFTYBEES,2018-10-04,1107.96
NIFTYBEES,2018-10-05,1079.83
NIFTYBEES,2018-10-08,1080.5
NIFTYBEES,2018-10-09,1077.79
NIFTYBEES,2018-10-10,1094.7
NIFTYBEES,2018-10-11,1070.07
NIFTYBEES,2018-10-12,1095.83
NIFTYBEES,2018-10-15,1099.85
NIFTYBEES,2018-10-16,1106.16
NIFTYBEES,2018-10-17,1093.2
NIFTYBEES,2018-10-19,1074.43
NIFTYBEES,2018-10-22,1071.5
NIFTYBEES,2018-10-23,1062.13
NIFTYBEES,2018-10-24,1070.44
NIFTYBEES,2018-10-25,1061.31
NIFTYBEES,2018-10-26,1050.19
NIFTYBEES,2018-10-29,1071.67
NIFTYBEES,2018-10-30,1068.71
NIFTYBEES,2018-10-31,1084.76
NIFTYBEES,2018-11-01,1086.39
NIFTYBEES,2018-11-02,1101.83
NIFTYBEES,2018-11-05,1101.48
NIFTYBEES,2018-11-06,1102.18
NIFTYBEES,2018-11-07,1109.83
NIFTYBEES,2018-11-09,1108.22
NIFTYBEES,2018-11-12,1097.64
NIFTYBEES,2018-11-13,1107.84
NIFTYBEES,2018-11-14,1104.02
